"","artists","album_name","popularity","explicit","danceability","energy","loudness","valence","tempo","time_signature","track_genre","duration"
"2716","Aphex Twin","Come To Daddy",54,FALSE,0.581,0.459,-14.519,0.315,119.042,4,"ambient",2.95
"2717","Murcof;Vanessa Wagner","Avril 14th (Aphex Twin) [Vanessa Wagner Version]",58,FALSE,0.395,0.0826,-18.982,0.119,93.288,4,"ambient",2.75
"2718","Philip Glass","Koyaanisqatsi",48,FALSE,0.0655,0.0455,-26.592,0.0388,66.915,4,"ambient",8.19
"2719","Tom Ashbrook","Solitudes",50,FALSE,0.185,0.0535,-26.329,0.0849,179.997,3,"ambient",3.83
"2720","Clint Mansell","Mass Effect 3 (Original Soundtrack)",51,FALSE,0.276,0.289,-14.322,0.0805,39.369,4,"ambient",2.06
"2721","Carlos Cipa","Correlations B-Sides (on Yamaha Upright, 1981)",58,FALSE,0.321,0.00611,-38.341,0.0693,104.311,4,"ambient",3.42
"2722","Sleeping At Last","Covers, Vol. 1",49,FALSE,0.309,0.204,-10.867,0.289,185.309,4,"ambient",3.3
"2723","Novo Amor","Cannot Be, Whatsoever",46,FALSE,0.562,0.504,-8.359,0.488,164.21,4,"ambient",3.26
"2724","Bicep","Isles",50,FALSE,0.648,0.339,-14.428,0.169,119.984,4,"ambient",3.34
"2725","Tony Anderson","Chasm",44,FALSE,0.176,0.0543,-22.125,0.0395,120.077,3,"ambient",6.77
"2726","Chad Lawson","irreplaceable (solo piano)",44,FALSE,0.17,0.0388,-28.428,0.129,125.098,4,"ambient",4.46
"2727","Mercuzio Pianist","La noyée",51,FALSE,0.567,0.243,-21.787,0.422,129.95,3,"ambient",2.18
"2728","Ólafur Arnalds;Lavinia Meijer","Are You Still Somewhere?",49,FALSE,0.481,0.182,-24.37,0.125,100.542,4,"ambient",2.44
"2729","Jon Hopkins","Singularity",48,FALSE,0.181,0.0863,-21.685,0.0337,70.907,4,"ambient",5.56
"2730","Dirk Maassen","Time",42,FALSE,0.355,0.0552,-25.603,0.195,106.809,4,"ambient",3.39
"2731","Bethel Music;Brandon Lake","Too Good To Not Believe (Live)",55,FALSE,0.355,0.734,-8.221,0.237,143.964,4,"ambient",10.56
"2732","Abel Korzeniowski;Jasper Randall;The Hollywood Studio Symphony","Romeo and Juliet",44,FALSE,0.505,0.0994,-21.953,0.158,142.873,4,"ambient",3.72
"2733","Sleeping At Last","Many Beautiful Things (Original Motion Picture Soundtrack)",49,FALSE,0.151,0.0928,-20.167,0.113,156.658,3,"ambient",3.03
"2734","Bethel Music;We The Kingdom","Peace",51,FALSE,0.186,0.0916,-17.125,0.0489,168.926,5,"ambient",6.9
"2735","Tony Anderson","The Heart of Man",41,FALSE,0.18,0.328,-14.955,0.0445,88.592,4,"ambient",4.47
"2736","Actress","Karma & Desire",57,FALSE,0.337,0.28,-18.646,0.0824,140.004,4,"ambient",1.27
"2737","Peter Broderick","Eyes Closed And Traveling",56,FALSE,0.417,0.0939,-20.98,0.0384,84.241,4,"ambient",3.66
"2738","Federico Albanese","By the Deep Sea",52,FALSE,0.541,0.21,-22.624,0.0461,119.916,4,"ambient",3.97
"2739","Jonny Greenwood","Spencer (Original Motion Picture Soundtrack)",41,FALSE,0.243,0.158,-24.65,0.304,112.454,4,"ambient",1.72
"2740","Dmitri Shostakovich;Boris Giltburg;Royal Liverpool Philharmonic Orchestra;Vasily Petrenko","Shostakovich: Piano Concertos Nos. 1 & 2 and String Quartet No. 8",51,FALSE,0.146,0.00849,-36.382,0.0389,77.324,4,"ambient",6.89
"2741","Yann Tiersen","Le Fabuleux destin d'Amélie Poulain (Bande originale du film)",55,FALSE,0.515,0.39,-9.544,0.0718,105.981,3,"ambient",1.56
"2742","Brian Eno","FOREVERANDEVERNOMORE",42,FALSE,0.101,0.241,-17.526,0.0369,90.234,5,"ambient",4.93
"2743","Bicep","Water",46,FALSE,0.819,0.601,-6.793,0.482,127.989,4,"ambient",4.11
"2744","Kronos Quartet","21 Grams (Original Motion Picture Soundtrack)",51,FALSE,0.284,0.209,-19.712,0.0786,154.189,3,"ambient",2.38
"2745","Ludovico Einaudi","In A Time Lapse",51,FALSE,0.295,0.0326,-28.956,0.0999,124.728,4,"ambient",4.43
"2746","Flower Face","Baby Teeth",44,TRUE,0.6,0.181,-11.581,0.178,119.919,3,"ambient",3.73
"2747","Ludovico Einaudi","Una Mattina",54,FALSE,0.401,0.0949,-28.822,0.0293,103.858,4,"ambient",3.83
"2748","Ludovico Einaudi","Divenire (Deluxe Edition)",49,FALSE,0.238,0.185,-18.862,0.0395,145.18,3,"ambient",11
"2749","Fabrizio Paterlini","Viaggi in aeromobile",52,FALSE,0.302,0.405,-16.077,0.213,110.259,4,"ambient",3.41
"2750","Nils Frahm","Old Friends New Friends",52,FALSE,0.342,0.0319,-34.481,0.183,128.733,3,"ambient",4.09
"2751","Sleeping At Last","Atlas: Touch",50,FALSE,0.398,0.0933,-11.879,0.185,81.76,3,"ambient",4.23
"2752","Clint Mansell","Out of Blue (Original Motion Picture Soundtrack)",43,FALSE,0.146,0.143,-19.2,0.173,81.018,4,"ambient",2.05
"2753","Benoît Pioulard","Radial",46,FALSE,0.0832,0.245,-14.042,0.0372,85.475,3,"ambient",11.05
"2754","Eydís Evensen","Brotin",49,FALSE,0.395,0.0465,-25.504,0.1,66.808,4,"ambient",3.25
"2755","Tony Anderson;Chris Coleman","Eschaton",39,FALSE,0.133,0.0671,-16.578,0.038,66.744,3,"ambient",4.01
"2756","Fejká","Pulsing",48,FALSE,0.488,0.903,-10.355,0.0364,119.99,4,"ambient",3.96
"2757","Grandbrothers","Open",52,FALSE,0.483,0.623,-12.925,0.376,97.033,4,"ambient",5.98
"2758","Eydís Evensen","Wandering II",46,FALSE,0.0951,0.155,-20.447,0.138,163.072,3,"ambient",2.66
"2759","Jean-Michel Blais","amour – piano",50,FALSE,0.332,0.101,-23.391,0.185,129.317,3,"ambient",5.1
"2760","Max Richter;Mari Samuelsen;Konzerthausorchester Berlin;Jonathan Stockhammer","Mari",49,FALSE,0.219,0.324,-12.016,0.0431,97.604,4,"ambient",3.45
"2761","Luke Howard","Open",54,FALSE,0.258,0.0238,-28.865,0.0757,140.596,3,"ambient",3.04
"2762","Nils Frahm","Empty",51,FALSE,0.152,0.00559,-32.174,0.0772,195.603,3,"ambient",6.61
"2763","Peter Sandberg","Motion",45,FALSE,0.207,0.0748,-22.754,0.0385,48.232,4,"ambient",4.5
"2764","Blurstem","Fabric of Summer",54,FALSE,0.434,0.00159,-33.554,0.18,85.395,5,"ambient",2.24
"2765","Mattia Vlad Morleo","Perceptions",49,FALSE,0.359,0.143,-24.629,0.136,75.111,4,"ambient",2.89
"2766","Roger Eno;Scoring Berlin;Christian Badzura","Rarities - Piano",43,FALSE,0.121,0.0971,-22.27,0.0404,56.513,4,"ambient",2.39
"2767","Peter Sandberg","Motion",53,FALSE,0.137,0.00965,-34.079,0.0895,176.173,3,"ambient",3.19
"2768","Leon Vynehall","Nothing Is Still",55,FALSE,0.52,0.304,-15.255,0.0392,103.981,4,"ambient",3.86
"2769","Mohan","Agnee",15,FALSE,0.612,0.753,-10.114,0.592,143.946,4,"ambient",4.09
"2770","Bicep","Water",45,FALSE,0.852,0.796,-7.994,0.431,129.984,4,"ambient",4.49
"2771","Roger Eno","Bells",44,FALSE,0.468,0.00375,-33.35,0.174,61.416,4,"ambient",3.37
"2772","Ólafur Arnalds","Living Room Songs",47,FALSE,0.192,0.0777,-19.26,0.154,87.354,4,"ambient",2.31
"2773","Hammock","Far Cry 5 Presents: We Will Rise Again (Original Game Soundtrack)",33,FALSE,0.0688,0.326,-15.193,0.0387,75.48,3,"ambient",5.29
"2774","Lambert","The Open",45,FALSE,0.418,0.051,-25.754,0.236,132.424,4,"ambient",3.58
"2775","Bethel Music;Jenn Johnson;Mitch Wong","Simple",52,FALSE,0.478,0.333,-11.441,0.204,74.935,4,"ambient",5.7
"2776","Max Richter","Ad Astra (Original Motion Picture Soundtrack)",46,FALSE,0.16,0.0985,-25.284,0.0321,131.018,3,"ambient",3.51
"2777","Novo Amor","Antarctican Dream Machine",44,FALSE,0.376,0.0273,-19.715,0.185,89.013,4,"ambient",1.86
"2778","Bethel Music;Jenn Johnson","We Will Not Be Shaken (Live)",49,FALSE,0.416,0.392,-8.97,0.0896,141.8,3,"ambient",4.98
"2779","Bethel Music;Steffany Gretzinger","Have It All (Live)",53,FALSE,0.128,0.396,-9.904,0.05,71.965,4,"ambient",5.66
"2780","Federico Albanese","The Twelve (Original Motion Picture Soundtrack)",53,FALSE,0.462,0.0787,-24.908,0.04,124.963,5,"ambient",3.9
"2781","Gabriel Yared","Si tu voyais son cœur (Bande originale du film)",52,FALSE,0.114,0.121,-21.115,0.0778,87.964,3,"ambient",1.69
"2782","Bethel Music;Steffany Gretzinger","You Make Me Brave (Live)",50,FALSE,0.302,0.274,-10.26,0.379,75.891,5,"ambient",4.69
"2783","Bethel Music;Jenn Johnson","For the Sake of the World",48,FALSE,0.312,0.431,-7.23,0.287,139.542,4,"ambient",6.81
"2784","Philip Glass;Nicolas Horvath","Philip Glass: Glassworlds, Vol. 4 – On Love",59,FALSE,0.253,0.00429,-36.172,0.0368,74.497,3,"ambient",4.27
"2785","Sleeping At Last","Atlas: Space (Deluxe)",46,FALSE,0.131,0.205,-17.043,0.0362,146.089,4,"ambient",4.83
"2786","Bethel Music;Steffany Gretzinger;Amanda Cook","Starlight (Live)",50,FALSE,0.403,0.412,-8.863,0.064,136.05,4,"ambient",6.2
"2787","Carbon Based Lifeforms","Derelicts",41,FALSE,0.49,0.524,-13.911,0.0929,94.986,4,"ambient",5.73
"2788","Dario Marianelli;English Chamber Orchestra;Benjamin Wallfisch","Pride and Prejudice - OST",50,FALSE,0.265,0.0838,-23.47,0.239,135.873,4,"ambient",1.59
"2789","Aphex Twin","Selected Ambient Works Volume II",48,FALSE,0.619,0.0327,-20.273,0.0785,102.884,4,"ambient",7.46
"2790","Bethel Music;Melissa Helser","Revival's In The Air (Live)",50,FALSE,0.593,0.625,-7.11,0.229,127.007,4,"ambient",7.4
"2791","Alexis Ffrench","The Solo Piano Collection",37,FALSE,0.395,0.00515,-27.24,0.138,64.168,4,"ambient",2.28
"2792","Alexis Ffrench","The Secret Piano",52,FALSE,0.431,0.0775,-23.964,0.29,64.86,4,"ambient",1.92
"2793","Slow Meadow","Costero",52,FALSE,0.321,0.109,-19.433,0.0833,81.953,4,"ambient",3.73
"2794","Ludovico Einaudi","Nightbook (Exclusive)",49,FALSE,0.603,0.289,-16.3,0.194,123.978,4,"ambient",5.85
"2795","Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani","In A Time Lapse (Deluxe Edition)",50,FALSE,0.334,0.268,-14.772,0.0523,93.405,4,"ambient",4.38
"2796","Carbon Based Lifeforms","Interloper",43,FALSE,0.522,0.462,-11.273,0.104,80,4,"ambient",6.49
"2797","Ludovico Einaudi;Myleene Klass","Sleep: 111 Pieces Of Classical Music For Bedtime",26,FALSE,0.384,0.0517,-25.724,0.222,108.219,3,"ambient",5.18
"2798","Dustin O'Halloran","Like Crazy (Original Motion Picture Score)",25,FALSE,0.436,0.0949,-18.795,0.0338,160.164,3,"ambient",1.93
"2799","Alexis Ffrench","Truth - The Solo Piano Collection",43,FALSE,0.328,0.166,-18.42,0.172,75.497,4,"ambient",3.26
"2800","Karen Dalton","In My Own Time (50th Anniversary Edition)",53,FALSE,0.397,0.575,-9.689,0.284,76.118,4,"ambient",3.39
"2801","Jóhann Jóhannsson","Sicario (Original Motion Picture Soundtrack)",45,FALSE,0.168,0.0383,-23.447,0.0342,92.746,4,"ambient",3.22
"2802","Odina","I'm Not Asking",39,FALSE,0.28,0.299,-9.68,0.109,155.035,4,"ambient",2.84
"2803","Cliff Martinez","Drive (Original Motion Picture Soundtrack)",44,FALSE,0.287,0.236,-22.615,0.0293,73.765,4,"ambient",1.62
"2804","Sleeping At Last","Atlas: Enneagram",47,FALSE,0.349,0.106,-13.263,0.138,125.386,3,"ambient",4.86
"2805","Tony Anderson;Bonnie Brooksbank","Bloom",40,FALSE,0.472,0.308,-16.387,0.0793,126.64,4,"ambient",3.75
"2806","Sleeping At Last","Atlas: Enneagram",49,FALSE,0.228,0.348,-9.748,0.178,109.255,4,"ambient",4.25
"2807","Olivia Belli","Island II",57,FALSE,0.4,0.00478,-32.946,0.122,74.012,3,"ambient",2.4
"2808","Christian Löffler;Fejká","Fjäll",49,FALSE,0.611,0.697,-12.596,0.0388,123.037,4,"ambient",5.25
"2809","Ceeys","Hiddensee",56,FALSE,0.492,0.0814,-24.477,0.562,177.103,3,"ambient",3.34
"2810","Meitei","Komachi",49,FALSE,0.317,0.151,-23.897,0.112,69.883,4,"ambient",3.93
"2811","Lights & Motion","Bloom",46,FALSE,0.355,0.074,-17.67,0.0605,77.003,4,"ambient",3.29
"2812","Nibana","Ask the Universe",28,FALSE,0.164,0.858,-8.141,0.0336,99.986,4,"ambient",9.3
"2813","Fejká;Rökkurró","Reunion",43,FALSE,0.666,0.518,-10.387,0.277,122.998,4,"ambient",4.94
"2814","Lucy Rose","Like I Used To",37,FALSE,0.578,0.162,-10.48,0.195,135.495,4,"ambient",3.93
"2815","Dario Marianelli","Everest (Original Motion Picture Soundtrack)",46,FALSE,0.19,0.0739,-21.4,0.0786,99.994,4,"ambient",5.19
"2816","Ludovico Einaudi;Daniel Hope;I Virtuosi Italiani","Cinema",44,FALSE,0.414,0.392,-13.021,0.0366,92.394,4,"ambient",5.28
"2817","Lambert","Balcony Hotel (From 'Miss')",51,FALSE,0.503,0.209,-22.495,0.325,132.361,3,"ambient",2.81
"2818","Simon Wester","Echoes in the Valley, Vol. 4",39,FALSE,0.167,0.0709,-25.474,0.0391,111.917,4,"ambient",3.78
"2819","Mohan","Shor in the City (Original Motion Picture Soundtrack)",15,FALSE,0.621,0.786,-9.086,0.637,143.965,4,"ambient",4.06
"2820","You'll Never Get to Heaven","Images",47,FALSE,0.633,0.574,-9.667,0.236,117.515,4,"ambient",4.14
"2821","Yann Tiersen;Alessandro Simonetto","Yann Tiersen: Piano Works",18,FALSE,0.315,0.0392,-27.539,0.0606,58.582,4,"ambient",2.54
"2822","Brambles","Charcoal",50,FALSE,0.387,0.0616,-23.838,0.279,209.852,3,"ambient",2.98
"2823","Michiru Aoyama;Marty Hicks","Maldesoule ADE 001",0,FALSE,0.199,0.0882,-21.032,0.0912,125.963,4,"ambient",4.88
"2824","Marconi Union","Weightless (Ambient Transmission Vol. 2)",54,FALSE,0.311,0.309,-19.505,0.231,115.102,5,"ambient",7.34
"2825","Yann Tiersen;Alessandro Simonetto","Yann Tiersen: Piano Works",17,FALSE,0.209,0.00395,-34.685,0.157,171.429,3,"ambient",4.28
"2826","Yann Tiersen;Alessandro Simonetto","Yann Tiersen: Piano Works",18,FALSE,0.227,0.00414,-33.712,0.166,173.674,3,"ambient",4.24
"2827","Flower Face","Fever Dreams",45,FALSE,0.46,0.47,-9.703,0.0898,140.066,4,"ambient",4.33
"2828","Dario Marianelli;Jean-Yves Thibaudet","Pride and Prejudice - OST",50,FALSE,0.139,0.0427,-23.586,0.0347,142.538,4,"ambient",5.38
"2829","Dmitri Shostakovich;Borodin Quartet","Shostakovich: String Quartets Nos. 1, 8 & 14",40,FALSE,0.421,0.46,-13.568,0.435,125.925,4,"ambient",2.89
"2830","Stephan Moccio","Lionheart",47,FALSE,0.357,0.0431,-25.461,0.0698,131.976,4,"ambient",5.23
"2831","Alexis Ffrench","Truth",55,FALSE,0.352,0.0355,-23.22,0.233,65.048,5,"ambient",3.3
"2832","Bethel Music;Paul McClure","We Will Not Be Shaken (Live)",53,FALSE,0.253,0.359,-8.482,0.115,115.348,3,"ambient",6.92
"2833","Cliff Martinez","The Knick (Original Series Soundtrack)",43,FALSE,0.506,0.206,-22.564,0.09,112.967,4,"ambient",2.45
"2834","Brian Eno","FOREVERANDEVERNOMORE",46,FALSE,0.108,0.24,-16.343,0.0381,71.699,4,"ambient",4.32
"2835","Carbon Based Lifeforms","World of Sleepers",40,FALSE,0.285,0.55,-10.988,0.0559,89.986,4,"ambient",6.75
"2836","Entheogenic","Dialogue Of The Speakers",36,FALSE,0.592,0.506,-12.327,0.289,89.991,4,"ambient",8.58
"2837","Little Symphony","Coco Beach",51,FALSE,0.17,0.364,-21.87,0.21,83.16,3,"ambient",2.67
"2838","Brian Eno","FOREVERANDEVERNOMORE",42,FALSE,0.154,0.208,-19.148,0.0456,95.143,3,"ambient",4.39
"2839","Boards of Canada","The Campfire Headphase",51,FALSE,0.641,0.477,-13.083,0.46,171.424,4,"ambient",5.42
"2840","Ludovico Einaudi;Daniel Hope","In A Time Lapse",49,FALSE,0.297,0.0155,-29.852,0.0971,78.661,1,"ambient",4.22
"2841","Chilly Gonzales","Solo Piano III",25,FALSE,0.361,0.00189,-30.927,0.179,94.018,4,"ambient",3.78
"2842","Dario Marianelli;Jean-Yves Thibaudet","Pride and Prejudice - OST",48,FALSE,0.209,0.0199,-26.368,0.567,84.93,3,"ambient",2.66
"2843","Julien Baker;Phoebe Bridgers;Lucy Dacus","boygenius",54,FALSE,0.393,0.104,-12.154,0.214,117.851,3,"ambient",3.59
"2844","Helios","Introducing Type",23,FALSE,0.347,0.244,-16.585,0.211,115.044,4,"ambient",5.44
"2845","Max Richter","My Brilliant Friend (TV Series Soundtrack)",29,FALSE,0.172,0.0109,-38.78,0.0305,81.261,4,"ambient",1.19
"2846","Morten Myklebust","Break Up",25,FALSE,0.567,0.476,-9.166,0.279,126.602,4,"ambient",4.09
"2847","Jean-Michel Blais","eviction sessions",25,FALSE,0.372,0.00827,-34.436,0.153,84.781,4,"ambient",3.49
"2848","Brian Eno","FOREVERANDEVERNOMORE",43,FALSE,0.143,0.13,-19.458,0.0367,51.762,4,"ambient",3.47
"2849","Stars Of The Lid","And Their Refinement of the Decline",50,FALSE,0.0629,0.0718,-24.789,0.0324,67.25,5,"ambient",4.55
"2850","Burzum","Filosofem",52,FALSE,0.295,0.545,-9.214,0.438,54.669,4,"ambient",7.08
"2851","Gustavo Santaolalla","The Last of Us Part II (Original Soundtrack)",45,FALSE,0.135,0.0285,-24.029,0.0351,76.033,1,"ambient",1.95
"2852","Gustavo Santaolalla;Diego Luna","The Book of Life (Original Motion Picture Soundtrack)",55,FALSE,0.549,0.183,-11.398,0.337,93.965,4,"ambient",2.87
"2853","Hugar","The Vasulka Effect: Music for the Motion Picture",44,FALSE,0.2,0.058,-26.123,0.0386,140.137,1,"ambient",3.97
"2854","Meitei","Kofū",51,FALSE,0.484,0.698,-19.799,0.64,115.529,5,"ambient",1.1
"2855","Kyson;Young & Sick","Every High (The Remixes)",50,FALSE,0.766,0.572,-10.182,0.231,119.952,4,"ambient",4.3
"2856","Spacecraft","Drifting Towards the Horizon",38,FALSE,0.146,0.0945,-24.802,0.0323,138.522,3,"ambient",4.36
"2857","Kyson","A Book Of Flying",47,FALSE,0.587,0.267,-14.936,0.0388,115.201,4,"ambient",3.95
"2858","Yann Tiersen","The Lighthouse - Everything's Calm",53,FALSE,0.466,0.0205,-18.097,0.0758,132.77,3,"ambient",4.25
"2859","Novo Amor","Antarctican Dream Machine",43,FALSE,0.0976,0.255,-21.353,0.0367,71.422,4,"ambient",3.4
"2860","Brambles","Charcoal",51,FALSE,0.188,0.0712,-25.731,0.0939,102.045,3,"ambient",5.5
"2861","Ludovico Einaudi;Ana & Sven","Experience",41,FALSE,0.453,0.138,-17.702,0.0358,184.093,4,"ambient",5.48
"2862","Novo Amor;Ed Tullett;Lowswimmer","Heiress",44,FALSE,0.282,0.273,-12.489,0.101,115.2,4,"ambient",4.46
"2863","Alexis Ffrench","Dreamland",31,FALSE,0.246,0.0715,-22.533,0.122,52.902,3,"ambient",3.46
"2864","Sleeping At Last","Atlas: I",48,FALSE,0.292,0.374,-10.495,0.247,119.784,4,"ambient",4.47
"2865","Maxence Cyrin","Melancholy Island",51,FALSE,0.335,0.197,-26.478,0.176,67.631,4,"ambient",1.68
"2866","Chad Lawson","You Finally Knew",51,FALSE,0.337,0.0111,-27.273,0.148,75.69,5,"ambient",2.65
"2867","Joep Beving","Hermetism",52,FALSE,0.505,0.104,-31.753,0.255,125.251,3,"ambient",3.15
"2868","Max Richter;Louisa Fuller;Natalia Bonner;John Metcalfe;Chris Worsey;Ian Burdge","The Blue Notebooks (15 Years)",46,FALSE,0.174,0.235,-14.816,0.0347,117.351,4,"ambient",6.9
"2869","Novo Amor","Cannot Be, Whatsoever",45,FALSE,0.498,0.432,-7.297,0.126,132.928,4,"ambient",3.92
"2870","Gustavo Santaolalla;Don Markese;Braulio Barrera;Javier Casalla;Anibal Kerpel","Motorcycle Diaries with additional Music",36,FALSE,0.719,0.363,-12.567,0.122,142.046,3,"ambient",2.81
"2871","Sleeping At Last","Naive (Live Acoustic)",47,FALSE,0.487,0.0702,-15.854,0.247,81.22,5,"ambient",3.79
"2872","Gabríel Ólafs","Absent Minded",52,FALSE,0.267,0.0781,-20.715,0.0776,138.394,3,"ambient",4.64
"2873","Bicep","Bicep",45,FALSE,0.505,0.904,-4.849,0.237,123.023,4,"ambient",5.85
"2874","Mree","Winterwell",43,FALSE,0.375,0.13,-17.102,0.0751,124.539,4,"ambient",4.6
"2875","Max Richter","Invasion Main Title (From ""Invasion"")",42,FALSE,0.324,0.437,-9.813,0.0296,125.362,4,"ambient",1.27
"2876","Carbon Based Lifeforms","Hydroponic Garden",40,FALSE,0.541,0.421,-11.792,0.154,90.002,4,"ambient",7.33
"2877","Dustin O'Halloran","Other Lights",54,FALSE,0.277,0.226,-17.855,0.222,137.125,4,"ambient",2.15
"2878","David Helpling","Sleeping on the Edge of the World",24,FALSE,0.0626,0.0907,-27.14,0.0376,59.214,4,"ambient",6.23
"2879","Dine","Ashley Williamson",25,FALSE,0.774,0.577,-14.651,0.305,127.978,4,"ambient",1.09
"2880","Brian Eno","FOREVERANDEVERNOMORE",44,FALSE,0.179,0.27,-13.13,0.119,105.169,4,"ambient",3.99
"2881","Sleeping At Last","Covers, Vol. 2",48,FALSE,0.419,0.128,-12.481,0.362,141.905,4,"ambient",3.49
"2882","Ludovico Einaudi","Divenire (Deluxe Edition)",50,FALSE,0.268,0.0102,-20.591,0.133,66.633,3,"ambient",3.2
"2883","Jean-Michel Blais","Dans ma main",24,FALSE,0.233,0.0146,-23.575,0.0365,74.132,4,"ambient",2.58
"2884","Bethel Music;Jeremy Riddle","Have It All (Live)",50,FALSE,0.303,0.516,-8.518,0.0592,141.932,4,"ambient",8.09
"2885","Roger Eno;Scoring Berlin","The Turning Year",42,FALSE,0.414,0.1,-18.42,0.106,95.075,4,"ambient",2.67
"2886","René Aubry","Petits sauts délicats avec grand écart",25,FALSE,0.629,0.22,-15.028,0.707,150.173,3,"ambient",2.82
"2887","Constance Demby","Sanctum Sanctuorum",25,FALSE,0.143,0.256,-18.874,0.0349,139.674,3,"ambient",8
"2888","Alexis Ffrench","Truth - The Solo Piano Collection",36,FALSE,0.508,0.0459,-22.484,0.0809,75.007,3,"ambient",3.31
"2889","Alexis Ffrench","Truth - The Solo Piano Collection",33,FALSE,0.539,0.059,-25.958,0.196,143.717,3,"ambient",3.04
"2890","Brian Eno","FOREVERANDEVERNOMORE",37,FALSE,0.0791,0.0979,-21.706,0.0337,79.435,3,"ambient",8.36
"2891","Alexis Ffrench","Truth - The Solo Piano Collection",29,FALSE,0.336,0.0681,-25.095,0.0721,125.978,3,"ambient",3.16
"2892","Alexis Ffrench","Truth - The Solo Piano Collection",32,FALSE,0.377,0.0686,-25.15,0.132,70.476,4,"ambient",3.94
"2893","Alexis Ffrench","Truth - The Solo Piano Collection",37,FALSE,0.446,0.118,-22.953,0.144,121.688,4,"ambient",3.14
"2894","Alexis Ffrench","Truth - The Solo Piano Collection",30,FALSE,0.239,0.0256,-27.559,0.155,67.112,3,"ambient",3.76
"2895","Chilly Gonzales","Solo Piano III",25,FALSE,0.455,0.103,-21.069,0.0378,66.104,3,"ambient",2.09
"2896","Alexis Ffrench","Truth - The Solo Piano Collection",27,FALSE,0.36,0.111,-23.135,0.0998,119.186,4,"ambient",3.88
"2897","Wim Mertens","What Are We, Locks, to Do?",26,FALSE,0.584,0.272,-13.011,0.161,111.038,4,"ambient",6.12
"2898","Alexis Ffrench","Truth - The Solo Piano Collection",32,FALSE,0.221,0.171,-20.633,0.0746,89.193,3,"ambient",3.89
"2899","Alexis Ffrench","Truth - The Solo Piano Collection",25,FALSE,0.55,0.0502,-26.362,0.385,134.892,3,"ambient",2.82
"2900","Alexis Ffrench","Truth - The Solo Piano Collection",24,FALSE,0.314,0.0324,-24.132,0.233,68.246,5,"ambient",3.28
"2901","aswekeepsearching","Sleep",17,FALSE,0.559,0.224,-18.199,0.221,100.03,4,"ambient",4.62
"2902","Gustavo Santaolalla","The Last of Us Part II (Original Soundtrack)",45,FALSE,0.504,0.108,-16.284,0.0761,163.648,4,"ambient",2.32
"2903","Apparat","Soundtracks: Dämonen",37,FALSE,0.325,0.469,-10.869,0.275,72.69,4,"ambient",2.84
"2904","Michael Brook;Nusrat Fateh Ali Khan","Night Song (Real World Gold)",19,FALSE,0.167,0.0435,-22.755,0.0373,112.356,5,"ambient",4.8
"2905","LUCHS;Patrik Berg Almkvisth","Her Eyes the Stars",49,FALSE,0.47,0.072,-22.05,0.477,121.997,3,"ambient",2.12
"2906","Sleeping At Last","Atlas: Enneagram",47,FALSE,0.368,0.0854,-16.224,0.203,106.6,5,"ambient",5.33
"2907","Felix Rösch","Piano",51,FALSE,0.222,0.0285,-28.619,0.152,79.693,1,"ambient",2.12
"2908","This Will Destroy You","S/T",49,FALSE,0.263,0.171,-11.748,0.038,111.995,4,"ambient",11.28
"2909","Max Richter;Maksym Rzemiński;Radom Chamber Orchestra;Dawid Runtz","Maximus: The Greatest Movie Soundtracks",31,FALSE,0.108,0.0172,-27.017,0.0705,71.007,4,"ambient",5.59
"2910","Simon Wester","Speak Life",38,FALSE,0.125,0.267,-17.026,0.0569,89.908,4,"ambient",3.42
"2911","Balmorhea","Rivers Arms",48,FALSE,0.254,0.246,-14.722,0.12,201.608,4,"ambient",5.85
"2912","De Moi","Still Life",47,FALSE,0.165,0.0448,-28.218,0.0565,135.893,4,"ambient",3.3
"2913","Ólafur Arnalds","For Now I Am Winter",45,FALSE,0.478,0.176,-17.971,0.0378,116.997,3,"ambient",5.36
"2914","yeule","Serotonin II",50,FALSE,0.435,0.669,-10.202,0.0734,130.009,4,"ambient",4.02
"2915","Ben Lukas Boysen","Gravity",49,FALSE,0.0998,0.0019,-36.502,0.178,85.205,4,"ambient",3.49
"2916","Library Tapes","Running By The Roads, Running By The Fields (Solo Piano)",51,FALSE,0.446,0.0646,-28.818,0.148,121.96,4,"ambient",2.04
"2917","Armand Amar;Lévon Minassian","Bab' Azîz (Original Motion Picture Soundtrack)",46,FALSE,0.213,0.128,-19.601,0.0362,87.83,5,"ambient",6.2
"2918","Novo Amor","Birthplace",41,FALSE,0.333,0.315,-9.795,0.0606,119.958,4,"ambient",4.72
"2919","Carlos Cipa","Munich Session",48,FALSE,0.3,0.0296,-25.094,0.0798,68.118,4,"ambient",4.3
"2920","Gavin Luke","Sentient",42,FALSE,0.324,0.0798,-22.421,0.123,70.405,4,"ambient",3.43
"2921","Yann Tiersen","The Lighthouse",51,FALSE,0.525,0.209,-9.403,0.944,138.702,3,"ambient",2.05
"2922","Dustin O'Halloran","The Beauty Inside (Original Film Score)",53,FALSE,0.327,0.0733,-20.667,0.0384,137.139,4,"ambient",2.68
"2923","Ludovico Einaudi;Czech National Symphony Orchestra","Cinema",45,FALSE,0.0844,0.13,-15.927,0.0501,171.138,3,"ambient",3.04
